ppt1,time1,gene1,ppt2,time2,gene2
L1,4.1,ACSF3,L1,4.1,C2CD3
L1,4.1,ACSF3,L1,4.1,MDC1
L1,4.1,ACSF3,L1,4.1,X
L1,4.1,ADAM10,L1,4.1,MDC1
L1,4.1,BACH2,L1,4.1,MALAT1
L1,4.1,BACH2,L1,4.1,CDYL
L1,4.1,C2CD3,L1,4.1,MAP7
L1,4.1,CAPRIN1,L1,4.1,MAPK1
L1,4.1,CBFB,L1,4.1,MDC1
L1,4.1,CDYL,L1,4.1,SH3PXD2A
L1,4.1,CYP3A5,L1,4.1,MDC1
L1,4.1,LDLRAD4,L1,4.1,ACSF3
L1,4.1,MALAT1,L1,4.1,MDC1
L1,4.1,MAP7,L1,4.1,MYB
L1,4.1,MAPK1,L1,4.1,X
L1,4.1,MDC1,L1,4.1,X
L1,4.1,MDC1,L1,4.1,PTER
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,LDLRAD4
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,BACH2
L1,4.1,MDC1,L1,4.1,ADAM10
L1,4.1,MDC1,L1,4.1,MDC1
L1,4.1,MDC1,L1,4.1,PRPF39
L1,4.1,MDC1,L1,4.1,X
L1,4.1,MDC1,L1,4.1,TRAPPC10
L1,4.1,MED13,L1,4.1,CAPRIN1
L1,4.1,MYB,L1,4.1,ACSF3
L1,4.1,PRPF39,L1,4.1,MDC1
L1,4.1,PTER,L1,4.1,X
L1,4.1,R3HDM1,L1,4.1,MDC1
L1,4.1,SEC14L1,L1,4.1,BACH2
L1,4.1,SH3PXD2A,L1,4.1,MDC1
L1,4.1,SMAP1,L1,4.1,TRAPPC11
L1,4.1,TRAPPC10,L1,4.1,ACSF3
L1,4.1,TRAPPC11,L1,4.1,R3HDM1
